year,constituencyNumber,district,constituency,latitude,longitude,winner,runnerUp,winnerVotes,runnerUpVotes,marginVotes,marginPercentage,magnitude
2001,1,Panchaghar,Panchaghar1,26.530794,88.413749,4P,AL,81702,70164,11538,5.63,20
2001,2,Panchaghar,Panchaghar2,26.332807,88.573737,4P,AL,83653,79602,4051,2.22,20
2001,3,Thakurgaon,Thakurgaon1,26.165299,88.508406,4P,AL,134910,96948,37962,15.24,21
2001,4,Thakurgaon,Thakurgaon2,26.106121,88.31749,AL,4P,62483,57196,5287,3.28,10
2001,5,Thakurgaon,Thakurgaon3,25.938287,88.427353,JP,AL,89468,78998,10470,5.87,30
2001,6,Dinajpur,Dinajpur1,25.908645,88.658066,4P,AL,88669,60197,28472,14.43,21
2001,7,Dinajpur,Dinajpur2,25.76032,88.482284,4P,AL,79490,71229,8261,4.42,20
2001,8,Dinajpur,Dinajpur3,25.641526,88.625107,4P,AL,102640,80814,21826,11.01,21
2001,9,Dinajpur,Dinajpur4,25.804837,88.796196,4P,AL,108360,87351,21009,10.14,21
2001,10,Dinajpur,Dinajpur5,25.631622,88.944511,AL,4P,105337,98883,6454,2.64,10
2001,11,Dinajpur,Dinajpur6,25.463115,89.032402,4P,AL,110598,88943,21655,7.79,20
2001,12,Nilphamari,Nilphamari1,26.189948,88.862114,AL,JP,66871,65552,1319,0.66,10
2001,13,Nilphamari,Nilphamari2,25.977799,88.846035,AL,4P,69960,65835,4125,2.25,10
2001,14,Nilphamari,Nilphamari3,26.091322,88.999844,4P,AL,64180,55043,9137,5.41,20
2001,15,Nilphamari,Nilphamari4,26.000019,88.928432,4P,AL,60199,57285,2914,1.69,20
2001,16,Lalmonirhat,Lalmonirhat1,26.332807,89.043789,AL,4P,78116,48907,29209,16.76,11
2001,17,Lalmonirhat,Lalmonirhat2,26.004956,89.290981,JP,Others,60468,58052,2416,1.38,31
2001,18,Lalmonirhat,Lalmonirhat3,25.886408,89.464016,4P,AL,63359,42912,20447,14.49,21
2001,19,Rangpur,Rangpur1,25.855516,89.218397,JP,4P,77812,49278,28534,16.34,31
2001,20,Rangpur,Rangpur2,25.730633,89.013777,JP,AL,91921,78163,13758,7.28,30
2001,21,Rangpur,Rangpur3,25.726921,89.251356,JP,AL,130562,53748,76814,36.78,33
2001,22,Rangpur,Rangpur4,25.707125,89.44911,JP,4P,93631,83825,9806,4.00,30
2001,23,Rangpur,Rangpur5,25.589517,89.284315,JP,AL,101956,75608,26348,11.27,31
2001,24,Rangpur,Rangpur6,25.398623,89.292555,JP,AL,90730,77991,12739,7.28,30
2001,25,Kurigram,Kurigram1,26.086388,89.691982,JP,4P,89073,87157,1916,0.76,30
2001,26,Kurigram,Kurigram2,25.945697,89.650784,JP,AL,123886,107398,16488,6.64,30
2001,27,Kurigram,Kurigram3,25.691038,89.65353,JP,4P,68579,63582,4997,2.97,30
2001,28,Kurigram,Kurigram4,25.616763,89.801846,JP,4P,62484,43025,19459,12.60,31
2001,29,Gaibandha,Gaibandha1,25.492868,89.554653,4P,JP,75478,57048,18430,10.00,21
2001,30,Gaibandha,Gaibandha2,25.391179,89.582119,AL,JP,68598,67519,1079,0.59,10
2001,31,Gaibandha,Gaibandha3,25.311753,89.381618,JP,AL,91109,76439,14670,6.09,0
2001,32,Gaibandha,Gaibandha4,25.170145,89.400845,4P,AL,96108,75106,21002,8.96,20
2001,33,Gaibandha,Gaibandha5,25.242212,89.579372,JP,AL,93432,72804,20628,11.42,31
2001,34,Joypurhat,Joypurhat1,25.176359,89.01515,4P,AL,159830,80900,78930,31.51,23
2001,35,Joypurhat,Joypurhat2,25.055745,89.12776,4P,AL,113290,77508,35782,18.15,21
2001,36,Bogra,Bogra1,24.900139,89.542494,4P,AL,120382,74622,45760,23.23,22
2001,37,Bogra,Bogra2,25.052013,89.318647,4P,AL,116806,47819,68987,37.66,23
2001,38,Bogra,Bogra3,24.892665,89.162092,4P,AL,94533,60764,33769,18.73,21
2001,39,Bogra,Bogra4,24.678218,89.263716,4P,AL,114814,72464,42350,21.66,22
2001,40,Bogra,Bogra5,24.628293,89.486189,4P,Others,158842,75327,83515,29.17,22
2001,41,Bogra,Bogra6,24.840334,89.387312,4P,AL,227355,54777,172578,59.63,25
2001,42,Bogra,Bogra7,24.749326,89.391432,4P,AL,147522,35656,111866,59.87,25
2001,43,Nawabganj,Nawabganj1,24.686952,88.108778,4P,AL,96740,84807,11933,4.79,20
2001,44,Nawabganj,Nawabganj2,24.825379,88.329878,4P,AL,86948,78411,8537,3.88,20
2001,45,Nawabganj,Nawabganj3,24.580846,88.241987,4P,Others,85489,72905,12584,5.79,20
2001,46,Naogaon,Naogaon1,24.993526,88.541164,4P,AL,129809,101135,28674,12.09,21
2001,47,Naogaon,Naogaon2,25.137826,88.736172,4P,AL,112827,89377,23450,11.39,21
2001,48,Naogaon,Naogaon3,24.9761,88.835049,4P,AL,135250,110927,24323,9.73,20
2001,49,Naogaon,Naogaon4,24.769278,88.694973,4P,AL,101262,80796,20466,11.07,21
2001,50,Naogaon,Naogaon5,24.806681,88.89822,AL,4P,96382,94235,2147,1.11,10
2001,51,Naogaon,Naogaon6,24.674474,89.00259,4P,AL,102693,82218,20475,10.93,21
2001,52,Rajshahi,Rajshahi1,24.533382,88.399916,4P,AL,130631,84185,46446,21.00,22
2001,53,Rajshahi,Rajshahi2,24.416517,88.606403,4P,AL,176405,96604,79801,26.95,22
2001,54,Rajshahi,Rajshahi3,24.385251,88.60091,4P,AL,113255,76717,36538,14.77,21
2001,55,Rajshahi,Rajshahi4,24.542126,88.648481,4P,AL,100551,85356,15195,7.77,20
2001,56,Rajshahi,Rajshahi5,24.229433,88.811903,4P,AL,88173,54882,33291,17.13,21
2001,57,Natore,Natore1,24.200627,88.935499,4P,AL,99591,89948,9643,4.95,20
2001,58,Natore,Natore2,24.423394,88.965712,4P,AL,109196,84498,24698,11.82,21
2001,59,Natore,Natore3,24.517139,89.181318,4P,AL,88071,78848,9223,5.39,20
2001,60,Natore,Natore4,24.280768,89.144239,4P,AL,111626,79450,32176,13.84,21
2001,61,Sirajgonj,Sirajgonj1,24.665738,89.723768,AL,4P,101981,38202,63779,44.85,14
2001,62,Sirajgonj,Sirajgonj2,24.457151,89.692183,4P,AL,138640,109482,29158,11.58,21
2001,63,Sirajgonj,Sirajgonj3,24.510892,89.44087,4P,AL,127780,97609,30171,13.24,21
2001,64,Sirajgonj,Sirajgonj4,24.372117,89.484816,4P,AL,130241,100692,29549,12.58,21
2001,65,Sirajgonj,Sirajgonj5,24.457151,89.704542,4P,AL,118342,54830,63512,32.57,23
2001,66,Sirajgonj,Sirajgonj6,24.290782,89.683943,4P,AL,76498,32158,44340,37.34,23
2001,67,Sirajgonj,Sirajgonj7,24.1455,89.622145,4P,AL,99543,78908,20635,11.49,21
2001,68,Pabna,Pabna1,24.072798,89.594679,4P,AL,135982,98113,37869,16.06,21
2001,69,Pabna,Pabna2,23.914715,89.516401,4P,AL,97704,86013,11691,6.32,20
2001,70,Pabna,Pabna3,24.293285,89.351606,4P,AL,131294,119794,11500,4.55,20
2001,71,Pabna,Pabna4,24.117928,89.144239,AL,4P,85311,65721,19590,8.79,10
2001,72,Pabna,Pabna5,24.003817,89.23625,4P,AL,142884,103499,39385,15.65,21
2001,73,Meherpur,Meherpur1,23.769007,88.635535,4P,AL,102028,69971,32057,17.89,21
2001,74,Meherpur,Meherpur2,23.85821,88.770118,4P,AL,86750,66322,20428,13.06,21
2001,75,Kushtia,Kushtia1,24.018871,88.854475,4P,AL,108326,103491,4835,2.19,20
2001,76,Kushtia,Kushtia2,23.941076,89.012403,4P,AL,100544,87734,12810,5.07,20
2001,77,Kushtia,Kushtia3,23.815501,89.104414,4P,AL,138747,84289,54458,23.96,22
2001,78,Kushtia,Kushtia4,23.85821,89.23213,4P,AL,110792,68404,42388,19.33,21
2001,79,Chuadanga,Chuadanga1,23.682259,88.8943,4P,AL,151763,113333,38430,14.05,21
2001,80,Chuadanga,Chuadanga2,23.53755,88.825636,4P,AL,146548,107050,39498,15.35,21
2001,81,Jhenaidah,Jhenaidah1,23.674713,89.24449,AL,4P,92652,92306,346,0.19,10
2001,82,Jhenaidah,Jhenaidah2,23.610554,89.081068,4P,AL,144951,117706,27245,10.23,21
2001,83,Jhenaidah,Jhenaidah3,23.358646,88.903913,4P,AL,127023,84289,42734,19.43,21
2001,84,Jhenaidah,Jhenaidah4,23.411587,89.151106,4P,AL,95991,74458,21533,12.41,21
2001,85,Jessore,Jessore1,23.04688,88.935499,4P,AL,86583,74254,12329,7.62,20
2001,86,Jessore,Jessore2,23.203485,89.059095,4P,AL,137717,120899,16818,6.38,20
2001,87,Jessore,Jessore3,23.139097,89.175825,4P,AL,147825,108174,39651,13.51,21
2001,88,Jessore,Jessore4,23.207272,89.304914,4P,AL,126540,101994,24546,10.23,21
2001,89,Jessore,Jessore5,23.015284,89.237623,4P,AL,110835,89781,21054,9.96,20
2001,90,Jessore,Jessore6,22.891358,89.265089,Others,AL,57760,57456,304,0.24,40
2001,91,Magura,Magura1,23.548881,89.409285,AL,4P,97542,86468,11074,5.26,10
2001,92,Magura,Magura2,23.36495,89.428511,4P,AL,106741,96314,10427,4.92,20
2001,93,Narail,Narail1,23.088575,89.55564,AL,4P,78216,61413,16803,11.74,11
2001,94,Narail,Narail2,23.22431,89.55564,AL,4P,97195,93081,4114,2.13,10
2001,95,Bagerhat,Bagerhat1,22.824289,89.771633,AL,4P,106235,82922,23313,12.32,11
2001,96,Bagerhat,Bagerhat2,22.654572,89.76614,4P,AL,103792,74429,29363,16.27,21
2001,97,Bagerhat,Bagerhat3,22.380556,89.686489,AL,4P,76779,69310,7469,4.95,10
2001,98,Bagerhat,Bagerhat4,22.177232,89.837551,4P,AL,83950,81979,1971,1.13,20
2001,99,Khulna,Khulna1,22.548074,89.488735,AL,4P,78552,47523,31029,20.51,12
2001,100,Khulna,Khulna2,22.815428,89.547987,4P,AL,91819,62021,29798,18.75,21
2001,101,Khulna,Khulna3,22.93816,89.451857,4P,AL,72285,55797,16488,11.91,21
2001,102,Khulna,Khulna4,22.905273,89.634304,4P,AL,102957,80307,22650,11.92,21
2001,103,Khulna,Khulna5,22.852133,89.385939,4P,AL,105740,101192,4548,2.13,20
2001,104,Khulna,Khulna6,22.395793,89.345512,4P,AL,127874,89312,38562,17.15,21
2001,105,Shatkhira,Shatkhira1,22.745789,89.21917,4P,AL,145930,114527,31403,11.53,21
2001,106,Shatkhira,Shatkhira2,22.725524,89.070854,4P,AL,124206,69861,54345,26.24,22
2001,107,Shatkhira,Shatkhira3,22.532854,89.136772,4P,AL,73577,56982,16595,12.41,21
2001,108,Shatkhira,Shatkhira4,22.197577,89.153252,4P,AL,108172,66561,41611,21.54,22
2001,109,Shatkhira,Shatkhira5,21.861499,89.224663,4P,AL,84613,56554,28059,18.19,21
2001,110,Borguna,Borguna1,22.172145,90.119276,Others,AL,84789,51302,33487,22.42,42
2001,111,Borguna,Borguna2,22.104726,89.959974,4P,AL,44014,24772,19242,20.83,22
2001,112,Borguna,Borguna3,22.130171,90.234632,AL,JP,55030,49109,5921,5.65,10
2001,113,Patuakhali,Patuakhali1,22.356426,90.314283,4P,AL,95838,80403,15435,7.95,20
2001,114,Patuakhali,Patuakhali2,22.441495,90.526943,4P,AL,69735,52804,16931,11.48,21
2001,115,Patuakhali,Patuakhali3,22.216649,90.481825,AL,4P,75138,62310,12828,8.58,10
2001,116,Patuakhali,Patuakhali4,21.848753,90.197554,AL,Others,51940,38221,13719,10.25,11
2001,117,Bhola,Bhola1,22.684984,90.645046,4P,AL,95904,58010,37894,24.52,22
2001,118,Bhola,Bhola2,22.520169,90.724697,4P,AL,82927,54437,28490,20.52,22
2001,119,Bhola,Bhola3,22.355156,90.763149,4P,AL,98659,50588,48071,32.06,23
2001,120,Bhola,Bhola4,22.179775,90.73019,4P,AL,94226,51937,42289,26.94,22
2001,121,Barisal,Barisal1,22.821757,90.524197,4P,AL,81791,67760,14031,9.33,20
2001,122,Barisal,Barisal2,22.892623,90.111036,4P,AL,60164,44919,15245,9.62,20
2001,123,Barisal,Barisal3,22.767318,90.326643,4P,AL,71638,46832,24806,19.31,21
2001,124,Barisal,Barisal4,22.672313,90.384321,4P,AL,65091,22502,42589,43.74,24
2001,125,Barisal,Barisal5,22.551879,90.376081,4P,AL,108412,52385,56027,30.83,23
2001,126,Barisal,Barisal6,22.672313,90.198927,4P,AL,54318,41171,13147,9.71,20
2001,127,Jhalokathi,Jhalokathi1,22.551879,90.141249,4P,Others,54513,22052,32461,31.47,23
2001,128,Jhalokathi,Jhalokathi2,22.657106,90.198927,4P,AL,92116,54378,37738,23.99,22
2001,129,Pirojpur,Pirojpur1,22.702722,89.97488,4P,AL,110108,76731,33377,17.35,21
2001,130,Pirojpur,Pirojpur2,22.740723,90.08749,Others,4P,37560,20594,16966,22.17,42
2001,131,Pirojpur,Pirojpur3,22.350076,89.961147,4P,AL,64958,29756,35202,31.50,23
2001,132,Barisal,Barisal with Pirojpur,22.333333,90.333333,4P,AL,98514,69352,29162,17.04,21
2001,133,Tangail,Tangail1,24.622051,90.032558,AL,Others,98413,55917,42496,21.67,12
2001,134,Tangail,Tangail2,24.56461,89.889736,4P,AL,105273,102999,2274,1.05,20
2001,135,Tangail,Tangail3,24.492148,90.073757,4P,AL,94420,88725,5695,2.95,20
2001,136,Tangail,Tangail4,24.369615,90.027065,4P,AL,89916,84775,5141,2.71,20
2001,137,Tangail,Tangail5,24.239451,89.87875,4P,AL,96544,83458,13086,4.37,20
2001,138,Tangail,Tangail6,24.069036,89.906216,4P,AL,55173,53295,1878,1.45,20
2001,139,Tangail,Tangail7,24.159284,90.150661,AL,4P,89931,87857,2074,1.10,10
2001,140,Tangail,Tangail8,24.312059,90.153408,Others,AL,81786,54505,27281,14.45,41
2001,141,Jamalpur,Jamalpur1,25.227305,89.818325,4P,AL,93616,73959,19657,9.72,20
2001,142,Jamalpur,Jamalpur2,25.110471,89.733181,4P,AL,80314,49865,30449,23.21,22
2001,143,Jamalpur,Jamalpur3,24.906367,89.7579,AL,Others,119611,112598,7013,2.87,10
2001,144,Jamalpur,Jamalpur4,24.761797,89.845791,4P,AL,89414,70062,19352,11.98,21
2001,145,Jamalpur,Jamalpur5,24.854042,90.035305,AL,4P,150240,114232,36008,13.34,11
2001,146,Sherpur,Sherpur1,25.022151,90.014906,AL,4P,86101,65490,20611,10.42,11
2001,147,Sherpur,Sherpur2,25.08933,90.181074,4P,AL,102545,99661,2884,1.40,20
2001,148,Sherpur,Sherpur3,25.145285,90.021772,4P,AL,86785,58393,28392,15.95,21
2001,149,Mymensingh,Mymensingh1,25.085599,90.4006,AL,4P,47873,41280,6593,5.26,10
2001,150,Mymensingh,Mymensingh2,24.948709,90.386867,4P,AL,114048,89631,24417,10.81,21
2001,151,Mymensingh,Mymensingh3,24.75182,90.603847,AL,4P,50632,44603,6029,4.69,10
2001,152,Mymensingh,Mymensingh4,24.749326,90.392361,4P,AL,102016,83380,18636,7.00,20
2001,153,Mymensingh,Mymensingh5,24.744337,90.219326,4P,AL,90501,74033,16468,9.66,20
2001,154,Mymensingh,Mymensingh6,24.594583,90.249538,Others,AL,59615,52621,6994,4.10,40
2001,155,Mymensingh,Mymensingh7,24.574602,90.436306,AL,4P,82159,56592,25567,15.98,11
2001,156,Mymensingh,Mymensingh8,24.666986,90.609341,4P,AL,59159,48885,10274,7.43,20
2001,157,Mymensingh,Mymensingh9,24.532132,90.645046,4P,AL,65992,58157,7835,5.21,20
2001,158,Mymensingh,Mymensingh10,24.41214,90.515957,AL,4P,109832,86862,22970,11.58,11
2001,159,Mymensingh,Mymensingh11,24.414641,90.384121,AL,4P,78651,53771,24880,16.80,11
2001,160,Mymensingh,Mymensingh + Nrtrokona,25.115445,90.518703,4P,AL,76971,59735,17236,9.38,20
2001,161,Netrokona,Netrokona1,25.105497,90.792189,4P,AL,103059,90031,13028,6.61,20
2001,162,Netrokona,Netrokona2,24.91384,90.864973,AL,4P,108514,101320,7194,3.19,10
2001,163,Netrokona,Netrokona3,24.679466,90.829267,4P,AL,103123,93966,9157,4.52,20
2001,164,Netrokona,Netrokona4,24.730617,91.055861,4P,AL,88651,84800,3851,2.19,20
2001,165,Kishoreganj,Kishoreganj1,24.378372,90.668592,AL,4P,86623,86509,114,0.06,10
2001,166,Kishoreganj,Kishoreganj2,24.437148,90.774336,AL,4P,50206,48411,1795,1.39,10
2001,167,Kishoreganj,Kishoreganj3,24.30455,90.786695,AL,4P,82062,72483,9579,6.05,10
2001,168,Kishoreganj,Kishoreganj4,24.517139,90.908918,4P,AL,65447,64232,1215,0.63,20
2001,169,Kishoreganj,Kishoreganj5,24.433397,91.088819,AL,Others,93915,63656,30259,16.57,11
2001,170,Kishoreganj,Kishoreganj6,24.323322,90.939131,4P,AL,83698,75818,7880,4.87,20
2001,171,Kishoreganj,Kishoreganj7,24.210647,90.944624,AL,4P,104196,89639,14557,7.40,10
2001,172,Manikganj,Manikganj1,23.927268,89.824018,4P,AL,85447,59541,25906,17.14,21
2001,173,Manikganj,Manikganj2,23.82932,89.830885,4P,AL,90160,49202,40958,26.20,22
2001,174,Manikganj,Manikganj3,23.926013,90.002546,4P,AL,105474,71139,34335,18.37,21
2001,175,Manikganj,Manikganj4,23.790371,90.137129,4P,AL,98346,60445,37901,23.46,22
2001,176,Munshiganj,Munshiganj1,23.586643,90.288191,4P,AL,94412,64994,29418,18.11,21
2001,177,Munshiganj,Munshiganj2,23.499774,90.32527,4P,AL,83623,59534,24089,16.67,21
2001,178,Munshiganj,Munshiganj3,23.489698,90.491438,4P,AL,86077,51682,34395,24.91,22
2001,179,Munshiganj,Munshiganj4,23.548881,90.623274,4P,AL,93795,80447,13348,7.46,20
2001,180,Dhaka,Dhaka1,23.654588,90.157728,4P,AL,48347,45576,2771,2.95,20
2001,181,Dhaka,Dhaka2,23.689805,90.238752,4P,AL,70958,68414,2544,1.81,20
2001,182,Dhaka,Dhaka3,23.731298,90.296431,4P,AL,169980,89375,80605,30.42,23
2001,183,Dhaka,Dhaka4,23.69232,90.378828,4P,AL,151368,123002,28366,9.75,20
2001,184,Dhaka,Dhaka5,23.756439,90.446119,4P,AL,211440,166832,44608,11.40,21
2001,185,Dhaka,Dhaka6,23.735069,90.378828,4P,AL,156358,116976,39382,13.95,21
2001,186,Dhaka,Dhaka7,23.771521,90.378828,4P,AL,123686,98229,25457,11.20,21
2001,187,Dhaka,Dhaka8,23.838113,90.378828,4P,AL,89789,88697,1092,0.59,20
2001,188,Dhaka,Dhaka9,23.854323,90.388888,4P,AL,126985,86908,40077,18.08,21
2001,189,Dhaka,Dhaka10,23.870769,90.378828,4P,AL,94995,73043,21952,12.62,21
2001,190,Dhaka,Dhaka11,23.84565,90.406294,4P,AL,193945,163660,30285,8.08,20
2001,191,Dhaka,Dhaka12,23.883326,90.273085,4P,AL,139788,98062,41726,17.04,21
2001,192,Dhaka,Dhaka13,23.953626,90.156355,4P,AL,106007,76495,29512,16.08,21
2001,193,Gazipur,Gazipur1,24.079067,90.284071,AL,4P,165281,141151,24130,7.61,10
2001,194,Gazipur,Gazipur2,23.993781,90.403547,AL,Others,159125,89845,69280,18.58,11
2001,195,Gazipur,Gazipur3,24.122942,90.435133,4P,AL,58518,58133,385,0.31,20
2001,196,Gazipur,Gazipur4,24.000054,90.547743,AL,4P,80675,72082,8593,5.46,10
2001,197,Narsingdi,Narshingdi1,23.867001,90.713911,4P,AL,101313,84889,16424,8.55,20
2001,198,Narsingdi,Narshingdi2,23.918481,90.660353,4P,AL,67379,46342,21037,16.38,21
2001,199,Narsingdi,Narshingdi3,24.003817,90.766096,4P,AL,61453,44961,16492,13.20,21
2001,200,Narsingdi,Narshingdi4,24.154272,90.75511,4P,AL,102714,92564,10150,4.93,20
2001,201,Narsingdi,Narshingdi5,23.984998,90.878706,AL,4P,117096,99509,17587,7.97,10
2001,202,Narayanganj,Narayanganj1,23.84565,90.543623,4P,AL,89136,78904,10232,5.90,20
2001,203,Narayanganj,Narayanganj2,23.772778,90.656233,4P,AL,89757,64482,25275,16.18,21
2001,204,Narayanganj,Narayanganj3,23.725012,90.616407,4P,AL,84001,54683,29318,20.02,22
2001,205,Narayanganj,Narayanganj4,23.619362,90.480452,4P,AL,137323,106104,31219,12.19,21
2001,206,Narayanganj,Narayanganj5,23.608037,90.524397,4P,AL,73013,62232,10781,6.35,20
2001,207,Rajbari,Rajbari1,23.711181,89.664717,4P,AL,95266,85057,10209,5.17,20
2001,208,Rajbari,Rajbari2,23.748897,89.471083,4P,AL,148765,127538,21227,7.42,20
2001,209,Faridpur,Faridpur1,23.407806,89.683943,AL,4P,126858,119912,6946,2.79,10
