year,constituencyNumber,district,constituency,latitude,longitude,winner,second,winnerVotes,secondVotes,margin,difference,magnitude
2008,95,Bagerhat,BAGERHAT-1,22.824289,89.771633,MOHAJOTE,4P,142979,58533,84446,40.16,4
2008,96,Bagerhat,BAGERHAT-2,22.654572,89.76614,MOHAJOTE,4P,103846,95954,7892,3.84,0
2008,97,Bagerhat,BAGERHAT-3,22.380556,89.686489,MOHAJOTE,4P,97015,66177,30838,18.46,1
2008,98,Bagerhat,BAGERHAT-4,22.177232,89.837551,MOHAJOTE,4P,116454,78327,38127,19.04,1
2008,300,Bandarban,PARBATTYA BANDARBAN-1,21.884438,92.386379,MOHAJOTE,4P,78947,59174,19773,12.72,1
2008,119,Barisal,BARISAL-1,22.967245,90.167341,MOHAJOTE,4P,98245,70969,27276,15.85,1
2008,120,Barisal,BARISAL-2,22.892623,90.111036,MOHAJOTE,4P,100002,87976,12026,6.16,0
2008,121,Barisal,BARISAL-3,22.767318,90.326643,MOHAJOTE,4P,66463,60051,6412,4.22,0
2008,122,Barisal,BARISAL-4,22.821757,90.524197,4P,MOHAJOTE,92856,88483,4373,2.18,20
2008,123,Barisal,BARISAL-5,22.672313,90.384321,4P,MOHAJOTE,105694,99393,6301,2.68,20
2008,124,Barisal,BARISAL-6,22.551879,90.376081,MOHAJOTE,4P,89237,54005,35232,23.2,2
2008,115,Bhola,BHOLA-1,22.684984,90.645046,4P,MOHAJOTE,95158,78489,16669,9.31,20
2008,116,Bhola,BHOLA-2,22.520169,90.724697,MOHAJOTE,4P,103282,78730,24552,13.35,1
2008,117,Bhola,BHOLA-3,22.355156,90.763149,MOHAJOTE,4P,96034,83123,12911,7.08,0
2008,118,Bhola,BHOLA-4,22.179775,90.73019,MOHAJOTE,4P,134831,95732,39099,16.83,1
2008,36,Bogra,BOGRA-1,24.900139,89.542494,MOHAJOTE,4P,127000,121965,5035,2.01,0
2008,37,Bogra,BOGRA-2,25.052013,89.318647,4P,MOHAJOTE,134359,88977,45382,20.16,22
2008,38,Bogra,BOGRA-3,24.892665,89.162092,4P,Others,104622,84276,20346,9.5,20
2008,39,Bogra,BOGRA-4,24.678218,89.263716,4P,MOHAJOTE,131414,75991,55423,23.76,22
