ID_3,year,district,constituencies,mohajoteWins,fourPartyWins,otherWins
3663,2008,Bagerhat,4,4,0,
3630,2008,Bandarban,1,1,0,
3628,2008,Barguna,2,2,0,
3624,2008,Barisal,6,4,2,
3627,2008,Bhola,4,3,1,
3670,2008,Bogra,7,2,5,
3633,2008,Brahamanbaria,6,6,0,
3634,2008,Chandpur,5,4,1,
3631,2008,Chittagong,16,11,4,1
3667,2008,Chuadanga,2,2,0,
3635,2008,Comilla,11,9,2,
3632,2008,Cox's Bazar,4,1,3,
3641,2008,Dhaka,20,20,0,
3672,2008,Dinajpur,6,6,0,
3648,2008,Faridpur,4,4,0,
3637,2008,Feni,3,0,3,
3681,2008,Gaibandha,5,5,0,
3642,2008,Gazipur,5,5,0,
3649,2008,Gopalganj,3,3,0,
3686,2008,Habiganj,4,4,0,
3653,2008,Jamalpur,5,5,0,
3659,2008,Jessore,6,6,0,
3625,2008,Jhalokati,2,2,0,
3660,2008,Jhenaidah,4,4,0,
3671,2008,Joypurhat,2,0,2,
3636,2008,Khagrachhari,1,1,0,
3664,2008,Khulna,6,5,1,
3655,2008,Kishoreganj,6,6,0,
3682,2008,Kurigram,4,4,0,
3668,2008,Kushtia,4,4,0,
3638,2008,Lakshmipur,4,0,4,
3683,2008,Lalmonirhat,3,3,0,
3650,2008,Madaripur,3,0,0,
3661,2008,Magura,2,2,0,
3643,2008,Manikganj,3,3,0,
3687,2008,Maulvibazar,4,4,0,
3669,2008,Meherpur,2,1,1,
3644,2008,Munshiganj,3,3,0,
3656,2008,Mymensingh,11,11,0,
3677,2008,Naogaon,6,5,0,1
3662,2008,Narail,2,1,0,1
3645,2008,Narayanganj,5,5,0,
3646,2008,Narsingdi,5,5,0,
3678,2008,Natore,4,4,0,
3679,2008,Nawabganj,3,3,0,
3657,2008,Netrakona,4,4,0,
3684,2008,Nilphamari,4,4,0,
3639,2008,Noakhali,6,2,2,2
3675,2008,Pabna,5,5,0,
3673,2008,Panchagarh,2,2,0,
3629,2008,Patuakhali,4,4,0,
3626,2008,Pirojpur,3,3,0,
3665,2008,Pirojpur,3,3,0,
3647,2008,Rajbari,2,2,0,
3651,2008,Rajbari,2,2,0,
3680,2008,Rajshahi,6,6,0,
3640,2008,Rangamati,1,1,0,
3685,2008,Rangpur,6,6,0,
3666,2008,Satkhira,4,4,0,
3652,2008,Shariatpur,3,3,0,
3654,2008,Sherpur,3,3,0,
3676,2008,Sirajganj,6,5,1,
3688,2008,Sunamganj,5,5,0,
3689,2008,Sylhet,6,6,0,
3658,2008,Tangail,8,7,0,1
3674,2008,Thakurgaon,3,3,0,
,,,,,,
