year,constituencyNumber,district,constituency,latitude,longitude
2008,1,Panchaghar,PANCHAGARH-1,26.530794,88.413749
2008,2,Panchaghar,PANCHAGARH-2,26.332807,88.573737
2008,3,Thakurgaon,THAKURGAON-1,26.165299,88.508406
2008,4,Thakurgaon,THAKURGAON-2,26.106121,88.31749
2008,5,Thakurgaon,THAKURGAON-3,25.938287,88.427353
2008,6,Dinajpur,DINAJPUR-1,25.908645,88.658066
2008,7,Dinajpur,DINAJPUR-2,25.76032,88.482284
2008,8,Dinajpur,DINAJPUR-3,25.641526,88.625107
2008,9,Dinajpur,DINAJPUR-4,25.804837,88.796196
2008,10,Dinajpur,DINAJPUR-5,25.631622,88.944511
2008,11,Dinajpur,DINAJPUR-6,25.463115,89.032402
2008,12,Nilphamari,NILPHAMARI-1,26.189948,88.862114
2008,13,Nilphamari,NILPHAMARI-2,25.977799,88.846035
2008,14,Nilphamari,NILPHAMARI-3,26.091322,88.999844
2008,15,Nilphamari,NILPHAMARI-4,26.000019,88.928432
2008,16,Lalmonirhat,LALMONIRHAT-1,26.332807,89.043789
2008,17,Lalmonirhat,LALMONIRHAT-2,26.004956,89.290981
2008,18,Lalmonirhat,LALMONIRHAT-3,25.886408,89.464016
2008,19,Rangpur,RANGPUR-1,25.855516,89.218397
2008,20,Rangpur,RANGPUR-2,25.730633,89.013777
2008,21,Rangpur,RANGPUR-3,25.726921,89.251356
2008,22,Rangpur,RANGPUR-4,25.707125,89.44911
2008,23,Rangpur,RANGPUR-5,25.589517,89.284315
2008,24,Rangpur,RANGPUR-6,25.398623,89.292555
2008,25,Kurigram,KURIGRAM-1,26.086388,89.691982
2008,26,Kurigram,KURIGRAM-2,25.945697,89.650784
2008,27,Kurigram,KURIGRAM-3,25.691038,89.65353
2008,28,Kurigram,KURIGRAM-4,25.616763,89.801846
2008,29,Gaibandha,GAIBANDHA-1,25.492868,89.554653
2008,30,Gaibandha,GAIBANDHA-2,25.391179,89.582119
2008,31,Gaibandha,GAIBANDHA-3,25.311753,89.381618
2008,32,Gaibandha,GAIBANDHA-4,25.170145,89.400845
2008,33,Gaibandha,GAIBANDHA-5,25.242212,89.579372
2008,34,Joypurhat,JOYPURHAT-1,25.176359,89.01515
2008,35,Joypurhat,JOYPURHAT-2,25.055745,89.12776
2008,36,Bogra,BOGRA-1,24.900139,89.542494
2008,37,Bogra,BOGRA-2,25.052013,89.318647
