ID_3,year,district,registeredVoters,validVotes,fourPartyAllianceVotes,fourPartyAlliancePercentage,awamiLeagueVotes,,bangladeshNationalPartyVotes,,jatiyaPartyVotes,,jamaatIslamiVotes,,mohajoteVotes,,othersVotes
3663,2008,Bagerhat,880863,782887,298991,38.19,NULL,,NULL,,NULL,,NULL,,460294,,21044
3630,2008,Bandarban,272725,155390,59174,38.08,NULL,,NULL,,NULL,,NULL,,78947,,16915
3628,2008,Barguna,520383,435249,24686,5.67,NULL,,66433,,NULL,,273,,221529,,121875
3624,2008,Barisal,1321230,1107200,471551,42.59,NULL,,NULL,,NULL,,NULL,,541823,,90088
3627,2008,Bhola,685425,545346,257011,47.13,NULL,,NULL,,NULL,,NULL,,277805,,9599
3670,2008,Bogra,2055156,1854044,1074238,57.94,NULL,,NULL,,NULL,,NULL,,654607,,116831
3633,2008,Brahamanbaria,1472611,1235169,481531,38.99,NULL,,NULL,,NULL,,NULL,,729491,,20839
3634,2008,Chandpur,1325643,1103903,483386,43.79,NULL,,NULL,,NULL,,NULL,,591417,,26535
3631,2008,Chittagong,4398739,3543160,1585272,44.74,137106,,NULL,,5758,,NULL,,1547720,,243689
3667,2008,Chuadanga,692706,635157,280307,44.13,NULL,,NULL,,NULL,,NULL,,341116,,10822
3635,2008,Comilla,2858427,2391871,1056799,44.18,101201,,NULL,,12980,,NULL,,1162412,,50886
3632,2008,Cox's Bazar,1069986,934348,466571,49.94,NULL,,NULL,,NULL,,NULL,,398217,,67777
3641,2008,Dhaka,6245418,4921505,1763251,35.83,153144,,NULL,,17246,,NULL,,2767630,,132061
3672,2008,Dinajpur,1766195,1625087,642354,39.53,133610,,NULL,,75740,,NULL,,704790,,61343
3648,2008,Faridpur,1078527,947865,182769,19.28,NULL,,NULL,,NULL,,NULL,,571423,,191250
3637,2008,Feni,765462,622688,369718,59.37,NULL,,NULL,,NULL,,NULL,,238894,,11811
3681,2008,Gaibandha,1425632,1242213,294412,23.7,243662,,NULL,,143183,,NULL,,505829,,50437
3642,2008,Gazipur,1894591,1589257,561393,35.32,NULL,,NULL,,NULL,,NULL,,999543,,21770
3649,2008,Gopalganj,671416,564580,22080,3.91,NULL,,NULL,,NULL,,NULL,,528766,,7031
3686,2008,Habiganj,1102872,937654,328595,35.04,122025,,NULL,,4665,,NULL,,455803,,24090
3653,2008,Jamalpur,1362000,1194751,406501,34.02,NULL,,NULL,,NULL,,NULL,,721827,,62656
3659,2008,Jessore,1644462,1514638,668402,44.13,NULL,,NULL,,NULL,,NULL,,804789,,14797
3625,2008,Jhalokati,356746,299682,116949,39.02,NULL,,NULL,,NULL,,NULL,,168969,,12976
3660,2008,Jhenaidah,1042180,990744,333810,33.69,NULL,,59014,,NULL,,81739,,494321,,17300
3671,2008,Joypurhat,579007,533138,281701,52.84,NULL,,NULL,,NULL,,NULL,,244250,,4131
3636,2008,Khagrachhari,364136,279781,62977,22.51,NULL,,NULL,,NULL,,NULL,,122803,,93358
3664,2008,Khulna,1440539,1249088,536567,49.96,74678,,NULL,,2648,,NULL,,595018,,33132
3655,2008,Kishoreganj,1618668,1403335,500144,35.64,NULL,,NULL,,NULL,,NULL,,883676,,15119
3682,2008,Kurigram,1221559,1059556,199515,18.83,73913,,NULL,,53682,,NULL,,606932,,121332
3668,2008,Kushtia,1175358,1067184,452335,42.39,131620,,NULL,,2730,,NULL,,446140,,29956
3638,2008,Lakshmipur,903535,730832,382451,52.33,NULL,,NULL,,NULL,,NULL,,247155,,97704
3683,2008,Lalmonirhat,705659,629756,210471,33.42,NULL,,NULL,,NULL,,NULL,,402234,,14963
