year,constituencyNumber,district,constituency,winner,runnerUp,winnerVotes,runnerUpVotes,marginVotes,marginPercentage
2001,1,Panchaghar,Panchaghar1,4P,AL,81702,70164,11538,5.63
2001,2,Panchaghar,Panchaghar2,4P,AL,83653,79602,4051,2.22
2001,3,Thakurgaon,Thakurgaon1,4P,AL,134910,96948,37962,15.24
2001,4,Thakurgaon,Thakurgaon2,AL,4P,62483,57196,5287,3.28
2001,5,Thakurgaon,Thakurgaon3,JP,AL,89468,78998,10470,5.87
2001,6,Dinajpur,Dinajpur1,4P,AL,88669,60197,28472,14.43
2001,7,Dinajpur,Dinajpur2,4P,AL,79490,71229,8261,4.42
2001,8,Dinajpur,Dinajpur3,4P,AL,102640,80814,21826,11.01
2001,9,Dinajpur,Dinajpur4,4P,AL,108360,87351,21009,10.14
2001,10,Dinajpur,Dinajpur5,AL,4P,105337,98883,6454,2.64
2001,11,Dinajpur,Dinajpur6,4P,AL,110598,88943,21655,7.79
2001,12,Nilphamari,Nilphamari1,AL,JP,66871,65552,1319,0.66
2001,13,Nilphamari,Nilphamari2,AL,4P,69960,65835,4125,2.25
2001,14,Nilphamari,Nilphamari3,4P,AL,64180,55043,9137,5.41
2001,15,Nilphamari,Nilphamari4,4P,AL,60199,57285,2914,1.69
2001,16,Lalmonirhat,Lalmonirhat1,AL,4P,78116,48907,29209,16.76
2001,17,Lalmonirhat,Lalmonirhat2,JP,Others,60468,58052,2416,1.38
2001,18,Lalmonirhat,Lalmonirhat3,4P,AL,63359,42912,20447,14.49
2001,19,Rangpur,Rangpur1,JP,4P,77812,49278,28534,16.34
2001,20,Rangpur,Rangpur2,JP,AL,91921,78163,13758,7.28
2001,21,Rangpur,Rangpur3,JP,AL,130562,53748,76814,36.78
2001,22,Rangpur,Rangpur4,JP,4P,93631,83825,9806,4.00
2001,23,Rangpur,Rangpur5,JP,AL,101956,75608,26348,11.27
2001,24,Rangpur,Rangpur6,JP,AL,90730,77991,12739,7.28
2001,25,Kurigram,Kurigram1,JP,4P,89073,87157,1916,0.76
2001,26,Kurigram,Kurigram2,JP,AL,123886,107398,16488,6.64
2001,27,Kurigram,Kurigram3,JP,4P,68579,63582,4997,2.97
2001,28,Kurigram,Kurigram4,JP,4P,62484,43025,19459,12.60
2001,29,Gaibandha,Gaibandha1,4P,JP,75478,57048,18430,10.00
2001,30,Gaibandha,Gaibandha2,AL,JP,68598,67519,1079,0.59
2001,31,Gaibandha,Gaibandha3,JP,AL,91109,76439,14670,6.09
2001,32,Gaibandha,Gaibandha4,4P,AL,96108,75106,21002,8.96
2001,33,Gaibandha,Gaibandha5,JP,AL,93432,72804,20628,11.42
2001,34,Joypurhat,Joypurhat1,4P,AL,159830,80900,78930,31.51
2001,35,Joypurhat,Joypurhat2,4P,AL,113290,77508,35782,18.15
2001,36,Bogra,Bogra1,4P,AL,120382,74622,45760,23.23
2001,37,Bogra,Bogra2,4P,AL,116806,47819,68987,37.66
2001,38,Bogra,Bogra3,4P,AL,94533,60764,33769,18.73
2001,39,Bogra,Bogra4,4P,AL,114814,72464,42350,21.66
2001,40,Bogra,Bogra5,4P,Others,158842,75327,83515,29.17
2001,41,Bogra,Bogra6,4P,AL,227355,54777,172578,59.63
2001,42,Bogra,Bogra7,4P,AL,147522,35656,111866,59.87
2001,43,Nawabganj,Nawabganj1,4P,AL,96740,84807,11933,4.79
2001,44,Nawabganj,Nawabganj2,4P,AL,86948,78411,8537,3.88
2001,45,Nawabganj,Nawabganj3,4P,Others,85489,72905,12584,5.79
2001,46,Naogaon,Naogaon1,4P,AL,129809,101135,28674,12.09
2001,47,Naogaon,Naogaon2,4P,AL,112827,89377,23450,11.39
2001,48,Naogaon,Naogaon3,4P,AL,135250,110927,24323,9.73
2001,49,Naogaon,Naogaon4,4P,AL,101262,80796,20466,11.07
2001,50,Naogaon,Naogaon5,AL,4P,96382,94235,2147,1.11
2001,51,Naogaon,Naogaon6,4P,AL,102693,82218,20475,10.93
2001,52,Rajshahi,Rajshahi1,4P,AL,130631,84185,46446,21.00
2001,53,Rajshahi,Rajshahi2,4P,AL,176405,96604,79801,26.95
2001,54,Rajshahi,Rajshahi3,4P,AL,113255,76717,36538,14.77
2001,55,Rajshahi,Rajshahi4,4P,AL,100551,85356,15195,7.77
2001,56,Rajshahi,Rajshahi5,4P,AL,88173,54882,33291,17.13
2001,57,Natore,Natore1,4P,AL,99591,89948,9643,4.95
2001,58,Natore,Natore2,4P,AL,109196,84498,24698,11.82
2001,59,Natore,Natore3,4P,AL,88071,78848,9223,5.39
2001,60,Natore,Natore4,4P,AL,111626,79450,32176,13.84
2001,61,Sirajgonj,Sirajgonj1,AL,4P,101981,38202,63779,44.85
2001,62,Sirajgonj,Sirajgonj2,4P,AL,138640,109482,29158,11.58
2001,63,Sirajgonj,Sirajgonj3,4P,AL,127780,97609,30171,13.24
2001,64,Sirajgonj,Sirajgonj4,4P,AL,130241,100692,29549,12.58
2001,65,Sirajgonj,Sirajgonj5,4P,AL,118342,54830,63512,32.57
2001,66,Sirajgonj,Sirajgonj6,4P,AL,76498,32158,44340,37.34
2001,67,Sirajgonj,Sirajgonj7,4P,AL,99543,78908,20635,11.49
2001,68,Pabna,Pabna1,4P,AL,135982,98113,37869,16.06
2001,69,Pabna,Pabna2,4P,AL,97704,86013,11691,6.32
2001,70,Pabna,Pabna3,4P,AL,131294,119794,11500,4.55
2001,71,Pabna,Pabna4,AL,4P,85311,65721,19590,8.79
2001,72,Pabna,Pabna5,4P,AL,142884,103499,39385,15.65
2001,73,Meherpur,Meherpur1,4P,AL,102028,69971,32057,17.89
2001,74,Meherpur,Meherpur2,4P,AL,86750,66322,20428,13.06
2001,75,Kushtia,Kushtia1,4P,AL,108326,103491,4835,2.19
2001,76,Kushtia,Kushtia2,4P,AL,100544,87734,12810,5.07
2001,77,Kushtia,Kushtia3,4P,AL,138747,84289,54458,23.96
2001,78,Kushtia,Kushtia4,4P,AL,110792,68404,42388,19.33
2001,79,Chuadanga,Chuadanga1,4P,AL,151763,113333,38430,14.05
2001,80,Chuadanga,Chuadanga2,4P,AL,146548,107050,39498,15.35
2001,81,Jhenaidah,Jhenaidah1,AL,4P,92652,92306,346,0.19
2001,82,Jhenaidah,Jhenaidah2,4P,AL,144951,117706,27245,10.23
2001,83,Jhenaidah,Jhenaidah3,4P,AL,127023,84289,42734,19.43
2001,84,Jhenaidah,Jhenaidah4,4P,AL,95991,74458,21533,12.41
2001,85,Jessore,Jessore1,4P,AL,86583,74254,12329,7.62
2001,86,Jessore,Jessore2,4P,AL,137717,120899,16818,6.38
2001,87,Jessore,Jessore3,4P,AL,147825,108174,39651,13.51
2001,88,Jessore,Jessore4,4P,AL,126540,101994,24546,10.23
2001,89,Jessore,Jessore5,4P,AL,110835,89781,21054,9.96
2001,90,Jessore,Jessore6,Others,AL,57760,57456,304,0.24
2001,91,Magura,Magura1,AL,4P,97542,86468,11074,5.26
2001,92,Magura,Magura2,4P,AL,106741,96314,10427,4.92
2001,93,Narail,Narail1,AL,4P,78216,61413,16803,11.74
2001,94,Narail,Narail2,AL,4P,97195,93081,4114,2.13
2001,95,Bagerhat,Bagerhat1,AL,4P,106235,82922,23313,12.32
2001,96,Bagerhat,Bagerhat2,4P,AL,103792,74429,29363,16.27
2001,97,Bagerhat,Bagerhat3,AL,4P,76779,69310,7469,4.95
2001,98,Bagerhat,Bagerhat4,4P,AL,83950,81979,1971,1.13
2001,99,Khulna,Khulna1,AL,4P,78552,47523,31029,20.51
2001,100,Khulna,Khulna2,4P,AL,91819,62021,29798,18.75
2001,101,Khulna,Khulna3,4P,AL,72285,55797,16488,11.91
2001,102,Khulna,Khulna4,4P,AL,102957,80307,22650,11.92
2001,103,Khulna,Khulna5,4P,AL,105740,101192,4548,2.13
2001,104,Khulna,Khulna6,4P,AL,127874,89312,38562,17.15
2001,105,Shatkhira,Shatkhira1,4P,AL,145930,114527,31403,11.53
2001,106,Shatkhira,Shatkhira2,4P,AL,124206,69861,54345,26.24
2001,107,Shatkhira,Shatkhira3,4P,AL,73577,56982,16595,12.41
2001,108,Shatkhira,Shatkhira4,4P,AL,108172,66561,41611,21.54
2001,109,Shatkhira,Shatkhira5,4P,AL,84613,56554,28059,18.19
2001,110,Borguna,Borguna1,Others,AL,84789,51302,33487,22.42
2001,111,Borguna,Borguna2,4P,AL,44014,24772,19242,20.83
2001,112,Borguna,Borguna3,AL,JP,55030,49109,5921,5.65
2001,113,Patuakhali,Patuakhali1,4P,AL,95838,80403,15435,7.95
2001,114,Patuakhali,Patuakhali2,4P,AL,69735,52804,16931,11.48
2001,115,Patuakhali,Patuakhali3,AL,4P,75138,62310,12828,8.58
2001,116,Patuakhali,Patuakhali4,AL,Others,51940,38221,13719,10.25
2001,117,Bhola,Bhola1,4P,AL,95904,58010,37894,24.52
2001,118,Bhola,Bhola2,4P,AL,82927,54437,28490,20.52
2001,119,Bhola,Bhola3,4P,AL,98659,50588,48071,32.06
2001,120,Bhola,Bhola4,4P,AL,94226,51937,42289,26.94
2001,121,Barisal,Barisal1,4P,AL,81791,67760,14031,9.33
2001,122,Barisal,Barisal2,4P,AL,60164,44919,15245,9.62
2001,123,Barisal,Barisal3,4P,AL,71638,46832,24806,19.31
2001,124,Barisal,Barisal4,4P,AL,65091,22502,42589,43.74
2001,125,Barisal,Barisal5,4P,AL,108412,52385,56027,30.83
2001,126,Barisal,Barisal6,4P,AL,54318,41171,13147,9.71
2001,127,Jhalokathi,Jhalokathi1,4P,Others,54513,22052,32461,31.47
2001,128,Jhalokathi,Jhalokathi2,4P,AL,92116,54378,37738,23.99
2001,129,Pirojpur,Pirojpur1,4P,AL,110108,76731,33377,17.35
2001,130,Pirojpur,Pirojpur2,Others,4P,37560,20594,16966,22.17
2001,131,Pirojpur,Pirojpur3,4P,AL,64958,29756,35202,31.50
2001,132,Barisal,Barisal with Pirojpur,4P,AL,98514,69352,29162,17.04
2001,133,Tangail,Tangail1,AL,Others,98413,55917,42496,21.67
2001,134,Tangail,Tangail2,4P,AL,105273,102999,2274,1.05
2001,135,Tangail,Tangail3,4P,AL,94420,88725,5695,2.95
